# Year,Month,Lyme Case Count,Total Precip (mm)
2019,1,1,1.9806451612903226
2019,2,0,2.4285714285714284
2019,3,0,2.167741935483871
2019,4,1,2.8379310344827586
2019,5,6,3.2225806451612904
2019,6,14,3.533333333333333
2019,7,30,2.3774193548387097
2019,8,22,1.8
2019,9,8,1.1866666666666668
2019,10,2,4.554838709677419
2019,11,4,1.2733333333333334
2019,12,1,2.6666666666666665
2020,1,0,4.21
2020,2,1,2.1379310344827585
2020,3,0,2.2548387096774194
2020,4,0,1.8833333333333333
2020,5,4,1.729032258064516
2020,6,12,1.7066666666666668
2020,7,8,2.52258064516129
2020,8,11,3.2233333333333336
2020,9,6,1.6166666666666667
2020,10,4,1.6172413793103448
2020,11,2,2.203333333333333
2020,12,0,1.9129032258064516
2021,1,0,1.038709677419355
2021,2,1,1.407142857142857
2021,3,2,1.3612903225806452
2021,4,2,1.8166666666666667
2021,5,6,0.667741935483871
2021,6,38,2.6599999999999997
2021,7,40,3.396666666666667
2021,8,25,0.37419354838709684
2021,9,14,4.62
2021,10,5,4.22258064516129
2021,11,3,1.4571428571428573
2021,12,0,1.9129032258064516
2022,1,1,1.632258064516129
2022,2,0,2.6464285714285714
2022,3,2,1.803225806451613
2022,4,5,1.4933333333333332
2022,5,6,0.9225806451612903
2022,6,23,2.03
2022,7,29,1.8967741935483873
2022,8,28,2.0806451612903225
2022,9,15,2.026666666666667
2022,10,6,1.0666666666666667
2022,11,10,2.3333333333333335
2022,12,1,4.125806451612903
2023,1,4,2.4451612903225803
2023,2,4,2.460714285714286
2023,3,2,3.2451612903225806
2023,4,2,3.5166666666666666
2023,5,3,1.5451612903225806
2023,6,25,3.44
2023,7,77,3.167741935483871
2023,8,29,1.4806451612903226
2023,9,16,0.39666666666666667
2023,10,4,1.3483870967741938
2023,11,4,1.7965517241379312
2023,12,6,2.4806451612903224
